@relation train

@attribute Document string
@attribute class-rohit {one, five}

@data
"countless talented individual minor worthless",one
"last less 2nd worth tactful stupid",one
"friendly comfortable great wonderful",five
"bad dry",one
"bad single outstanding clever tasty red wrong other great simple good possible",five
"last rapid favorite excellent worried true unable few several wrong multiple poor non such egregious many sad",one
"possible special bad excellent friendly professional able amazing baked phenomenal safe good",five
"worst golden cheap less worth wrong entire brown bland small awful decent sweet sour second whole greasy chinese crispy bad other clear digestive",one
"good great casual popular white full other fair warm fuzzy own main few friendly afraid ready hot cold actual generous least last visible red grateful",five
"bad rude helpful busy simplest several other pregnant",one
"sparkling good awesome mexican",five
"hefty grey crappy horrible tiny tiniest particular complete uninvited",one
"several hung",one
"aware",five
"roasted worst horrible",one
"",five
"worth great fluffy",five
"historic worth political entire unelected dry frozen nuked good terrible same other certain favorite harder whole awesome professional competent",one
"impressed clean interesting other",five
"great low dry positive good friendly last",one
"open mic awesome attentive strong great new packed such rare non small favorite",five
"italian several idiotic",one
"worst new other worse surly rude terrible depressed several decent single second different",one
"rude",one
"other good friendly few generous",five
"cheap",one
"great last amazing fabulous superb",five
"routine pleasant least 5pm 30am busy 2pm unacceptable necessary low sensitive upset frustrated",one
"many such same yummy french odd perfect",five
"impressed friendly upset previous open dry convenient flavorful clear happy",five
"unplowed slippery unfriendly unpleasant clear",one
"wrong french usual worthy beefy sad",one
"upset",one
"several same original terrible good new",one
"honest surprised particular open negative lazy useless unhappy poor own worst corporate mediocre high happy",one
"cheap general adult large steep clean friendly cheaper",five
"okay last red able yellow good",five
"horrific new large heavy rude snarky dirty",one
"small multiple many other remembered full such awful terrible",one
"okay disappointed second mediocre greasy good third rare busy alive black upset",one
"amazing nervous glad other great prompt able small casual italian",five
"big sugary nasty baked free desperate",one
"amazing fresh friendly young spare",five
"great horrible rude",one
"such great good crisp nice",one
"last delicious good exceptional worth second third fourth",five
"international drunk last stupid lucky",one
"additional good decent great callous ready blue cold new many conscious clean warm other full perfect such",five
"good least correct super",one
"nice small local",five
"great few thick crispy big able organic hot",five
"horrible non insane",one
"healthy small greatest sweet excellent",five
"small simple incredible thin crispy new many ready nice",five
"conscious bountiful saddened epicurean amazing hearty great local tasty weird good northern worth lucky barren subtle rich nice",five
"amazing foremost awesome super friendly helpful healthy worth",five
"last good super warm nice separate clean spacious chatty southwestern french prime happy yummy decent pleased",five
"frozen burnt",one
"empty dry tasteless bad",one
"many local welcome huge fresh second true curious eager good tasty strong regular glad new",five
"pure select few tiny obscene",one
"disappointed truer same big chinese affordable wrong new decent greasy old cold several clean sad valuable depressed least",one
"smart medical",five
"flat good new low last few minor least great",five
"botanical favorite wrong beautiful northern tough masculine delicate special romantic cooler succulent",five
"funny horrible good",one
"indian horrible stale",one
"several nice terminal least positive recent easy free busy big easier substantial few quick own prepared super cheaper regular good",five
"luxurious amazing good",five
"sorry extreme gluttonous fest same typical huge hot cavernous whole bottomless busy main tough less fresh mexican 3am big entire",one
"old good cheap cute",one
"bad ultimate",one
"new satisfied second blue dark other livid clear",one
"great young awesome nice",five
"infrequent expensive other worth",five
"",one
"nice new",five
"personable awesome",five
"entire last packed whole",five
"happier second great many exact negative certain positive",five
"overwhelming tough big good worth",five
"open other ridiculous",one
"simple terminal helpful",one
"reasonable",five
"disappointed delicious different favorite lucky special white greasy good fresh",five
"fresh amazing disappointed nice expensive worth",five
"unfriendly",one
"favorite open outstanding rich special whole baked other wrong",five
